1. score=19 | docs/specs/constitution/HIEN_PHAP_NATT_OS_V6_SIRAWAT_LINEAGE_ANC_WILL_20260429.na | .na | 21361 bytes | abf28980942c | versions=['V6', 'v6'] | # HIẾN PHÁP NATT-OS V6.0
2. score=19 | src/governance/HIEN-PHAP-NATT-OS-v5.0.anc | .anc | 5543 bytes | 6db7acecbfee | versions=['v3.1', 'v5.0'] | # HIẾN PHÁP NATT-OS — BẢN 5.0
3. score=19 | src/governance/archive/HIEN-PHAP-NATT-OS-v4.0.anc | .anc | 25022 bytes | 8b26fbed79ce | versions=['v3.1', 'v4.0'] | # HIẾN PHÁP NATT-OS — BẢN 4.0
4. score=16 | HIEN_PHAP_NATT_OS_V6_SIRAWAT_LINEAGE_ANC_WILL_20260429.na | .na | 21361 bytes | abf28980942c | versions=['V6', 'v6'] | # HIẾN PHÁP NATT-OS V6.0
5. score=14 | src/governance/constitution/dau_an_khai_sinh_lap_phap.anc | .anc | 23859 bytes | 72794c0c4e96 | versions=[] | # **Dấu Ấn Khai Sinh Hiến Pháp NATT-OS**
6. score=13 | docs/runtime/thien_tool_inventory_for_bang_ss20260427.na | .na | 35400 bytes | f515c596ee2b | versions=['v4.0'] | # thien tool inventory for bang ss20260427
7. score=11 | Hiến Pháp Sinh Thể Số.anc | .anc | 14414 bytes | 63ae74c8c10c | versions=[] | # HIẾN PHÁP SINH THỂ SỐ
8. score=11 | docs/runtime/NATURAL_CASE_CONSTITUTION_20260425.si | .si | 835 bytes | 84f93d6963fd | versions=[] | # Natural case constitution — 20260425
9. score=11 | docs/runtime/THIEN_OPERATOR_ALIAS_20260425.na | .na | 931 bytes | fb30d7b0aa02 | versions=[] | # thiên OPERATOR ALIAS — 20260425\n\nstatus: pass\ncreated_at: 2026-04-24T18:25:18.785270+00:00\nrepo_root: /Users/thien/Desktop/Hồ Sơ SHTT/ natt-os_verANC\n
10. score=11 | docs/runtime/THIEN_OPERATOR_LAUNCHER_20260425.na | .na | 689 bytes | 7cfdd4032070 | versions=[] | # thiên OPERATOR LAUNCHER — 20260425\n\nstatus: pass\ncreated_at: 2026-04-24T18:16:15.688220+00:00\nrepo_root: /Users/thien/Desktop/Hồ Sơ SHTT/ natt-os_verAN
11. score=11 | docs/runtime/lowercase_surface_constitution_20260425.si | .si | 671 bytes | 9e364d2ac863 | versions=[] | # lowercase surface constitution — 20260425
12. score=11 | docs/specs/nauion-runtime/NAUION_CONSTITUTIONAL_BIRTHMARK_10_FILES_v0_1.na | .na | 3486 bytes | bf6e628748c4 | versions=[] | @nauion-constitutional-birthmark v0.1
13. score=10 | docs/specs/constitution/ANC_BINARY_POLICY_v0_1.na | .na | 1873 bytes | 89546ba67171 | versions=[] | @nauion-spec v1
14. score=10 | src/governance/system-state.phieu | .phieu | 8151 bytes | a5806ec8eb68 | versions=['v4', 'v4.0'] | {
15. score=9 | docs/archive/HIEN-PHAP-NATT-OS-v4.0-bang-tieng-viet.docx | .docx | 21947 bytes | ae0ae9002fa6 | versions=['V5', 'v4.0'] | PK
16. score=9 | docs/specs/THIENBANG_MAPPING_v1_canonical_answers.na | .na | 4898 bytes | 190fffa60129 | versions=['v5.0'] | @state sealed
17. score=9 | src/thienbang.si | .si | 462954 bytes | 370dec32d3a4 | versions=['V4', 'V5', 'V5.0', 'V6', 'v4', 'v5', 'v5.0', 'v6'] | /**
18. score=8 | docs/runtime/audit/NAUION_CONSTITUTIONAL_BIRTHMARK_10_FILES_ss20260429.na | .na | 588 bytes | 1062b522d80d | versions=[] | @nauion-audit v1
19. score=8 | docs/runtime/audit/NAUION_THIEN_DRAFTS_PENDING_BANG_REVIEW_ss20260429.na | .na | 1458 bytes | 5641e598ea1c | versions=[] | @nauion-audit v1
20. score=8 | docs/runtime/audit/THIENBANG_BACKUP_UPDATE_CLASSIFICATION_ss20260429.na | .na | 1963 bytes | fca988f272a8 | versions=[] | @nauion-audit v1
21. score=8 | docs/runtime/audit/THIENBANG_KERNEL_NAUION_v0_2_AUDIT_CORRECTION_ss20260429.na | .na | 3186 bytes | de9aefd9db4e | versions=[] | @nauion-audit-correction v1
