origin_text,vi_standard,origin_no_tone,cipher_surface,rime_rule_id,tone_class,protected_flag,decode_key,row_hmac
13an,13 tuổi,13 tuôi,13 tuoi,"R_KEEP,R_TONE_ONLY","C0,C3",false,"13 tuôi|R_KEEP,R_TONE_ONLY|C0,C3",9c06cc0f16219ec39fb16d022e98526964b490987d12d2b4de6cd2477b0067a4
3rthw,Thứ 3,Thư 3,thu 3,"R_TONE_ONLY,R_KEEP","C1,C0",false,"Thư 3|R_TONE_ONLY,R_KEEP|C1,C0",b5f314856d438ebf3c7022ebbc7c927e0347e1614cf533b54eb145f311808d9f
testmodeforceunsupportedbrowser,testmodeforcekhông được hỗ trợtrình duyệt,testmodeforcekhông đươc hô trơtrinh duyêt,testmodeforcekhong đuoc ho trotrinh duyet,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C4,C2,C5",false,"testmodeforcekhông đươc hô trơtrinh duyêt|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C4,C2,C5",cff13d252370d3e00bb049a66037e71520d3654a15101a0c24f6ce4e73d2ee22
verifysignature,xác minh chữ ký,xac minh chư ky,xac minh chu ky,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C1,C0,C4,C1",false,"xac minh chư ky|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C1,C0,C4,C1",3f946fbe3aad44578576bae50e5db1106e7436f946a2c790767edf5a500e2c1b
asyncvalues,giá trị bất đồng bộ,gia tri bât đông bô,gia tri bat đong bo,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C5,C1,C2,C5",false,"gia tri bât đông bô|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C5,C1,C2,C5",2cf26540c4a14dce5cc7c9625053719063f3cc5593c410a011129c06d589b5ef
brand,thương hiệu,thương hiêu,thuong hieu,"R_KEEP,R_TONE_ONLY","C0,C5",false,"thương hiêu|R_KEEP,R_TONE_ONLY|C0,C5",dba5014c1b1b6153ed430fecce3498a478ae28bcac9b122d12b8a270f7228e5a
checkout,thanh toán,thanh toan,thanh toan,"R_KEEP,R_TONE_ONLY","C0,C1",false,"thanh toan|R_KEEP,R_TONE_ONLY|C0,C1",9db5a5e4cf9fd5916bd383704cf19ecf0dc3efac779f209b6923ec7b9c0318a7
compilerruntime,thời gian chạy trình biên dịch,thơi gian chay trinh biên dich,thoi gian chay trinh bien dich,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C2,C0,C5,C2,C0,C5",false,"thơi gian chay trinh biên dich|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C2,C0,C5,C2,C0,C5",c506d211cd910f1cca0500d87109a7725cbcde0d8c3eb4352fc263f9aab5cbbf
countrycallingcodesource,mã gọi quốc gia,ma goi quôc gia,ma gau quoc gia,"R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY,R_KEEP","C4,C5,C1,C0",false,"ma goi quôc gia|R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY,R_KEEP|C4,C5,C1,C0",01497e56e29d398593c85fe05edcec522d99d44f27ff7d73c761c4293d1c1132
couponcode,mã giảm giá,ma giam gia,ma giam gia,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C3,C1",false,"ma giam gia|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C3,C1",2242c9ff598c5520e74b47153685f05b75d44772e2bc6dfc7768d1b7ca7ec0fa
create,tạo nên,tao nên,tao nen,"R_TONE_ONLY,R_KEEP","C5,C0",false,"tao nên|R_TONE_ONLY,R_KEEP|C5,C0",57d63b6dd756c46fd8e6fb4220efeafab056293980d2a0d69049235b495b806a
decorate,trang trí,trang tri,trang tri,"R_KEEP,R_TONE_ONLY","C0,C1",false,"trang tri|R_KEEP,R_TONE_ONLY|C0,C1",9c7a3fae89539b298e6c2e5834e2b729a34b337c0cdd52e7293d16b0a83a6df7
emit,phát ra,phat ra,phat ra,"R_TONE_ONLY,R_KEEP","C1,C0",false,"phat ra|R_TONE_ONLY,R_KEEP|C1,C0",fd6d2f46d2e14e479812e05e3d3d8bfd15f370102d2bc2c8ddec4c42110e8b41
